HEADER	SPOT	GRID	TOP	LEFT	BOT	RIGHT	ROW	COL	CH1I	CH1B	CH1AB	CH2I	CH2B	CH2AB	SPIX	BGPIX	EDGE	RAT2	MRAT	REGR	CORR	LFRAT	CH1GTB1	CH2GTB1	CH1GTB2	CH2GTB2	CH1EDGEA	CH2EDGEA	FLAG	CH1KSD	CH1KSP	CH2KSD	CH2KSP
SPOT	1	1	51	74	65	88	1	1	176	67	75	256	208	228	156	1152	0	0.4404	0.8134	0.2952	0.4519	0.4341	0.6923	0.5833	0.5	0.3141	-0.02218	-0.01565	0	0.3547	8.981E-16	0.1782	2.670E-04
SPOT	2	1	50	91	64	105	1	2	711	66	70	466	194	204	156	985	0	0.4217	0.4661	0.3955	0.8806	0.4127	0.75	0.7372	0.6026	0.5192	0.01532	0.008044	0	0.5175	1.859E-32	0.396	3.483E-19
SPOT	3	1	50	109	64	123	1	3	1187	68	76	716	199	210	156	988	0	0.462	0.5039	0.4447	0.92	0.4583	0.8013	0.7244	0.6474	0.5769	0.001154	0.01064	0	0.5341	1.490E-34	0.4706	6.279E-27
SPOT	4	1	50	126	64	140	1	4	2128	64	74	1191	192	207	156	985	0	0.484	0.5095	0.4692	0.9456	0.4798	0.8526	0.7372	0.7244	0.6026	0.001704	-0.0004169	0	0.5536	4.475E-37	0.4817	3.523E-28
SPOT	5	1	50	144	64	158	1	5	6432	64	67	4464	187	200	156	988	0	0.6716	0.7229	0	0	0.557	0.9359	0.8654	0.8269	0.75	0.002019	-0.001785	0	0.6991	0.000E+00	0.6012	1.135E-43
SPOT	6	1	50	161	64	175	1	6	986	65	68	817	191	202	156	985	0	0.6797	0.7057	0.6246	0.9078	0.6637	0.8077	0.8013	0.6731	0.6154	0.01395	0.007794	0	0.5599	6.498E-38	0.5124	7.846E-32
SPOT	7	1	50	179	64	193	1	7	188	66	70	272	201	209	156	997	0	0.582	0.9796	0.3577	0.6355	0.429	0.7308	0.641	0.4615	0.3397	-0.01047	-0.0005042	0	0.3261	3.660E-13	0.2047	1.905E-05
SPOT	8	1	50	196	64	210	1	8	448	68	84	550	203	255	156	976	0	0.9132	0.9042	0.8536	0.7905	1.102	0.7756	0.7564	0.641	0.609	0.01624	0.00862	0	0.4952	1.023E-29	0.4781	1.003E-27
SPOT	9	1	50	214	64	228	1	9	1104	69	83	656	203	257	156	978	0	0.4377	0.4348	0.3873	0.8404	0.41	0.8526	0.7628	0.6603	0.6026	0.002357	0.01328	0	0.5245	2.698E-33	0.4761	1.655E-27
SPOT	10	1	50	232	64	246	1	10	2128	66	71	940	203	212	156	958	0	0.3574	0.3967	0.3155	0.9091	0.3216	0.9038	0.8205	0.7244	0.6474	0.009911	0.00448	0	0.5888	9.781E-42	0.5326	3.166E-34
SPOT	11	1	50	249	64	263	1	11	1110	68	73	712	206	214	156	955	0	0.4856	0.5277	0.4393	0.8908	0.4592	0.8077	0.7372	0.6474	0.609	0.03076	0.008727	0	0.5546	4.749E-37	0.4961	9.869E-30
SPOT	12	1	50	267	64	281	1	12	1253	71	76	511	204	228	156	958	0	0.2597	0.3026	0.2334	0.8786	0.2371	0.8654	0.8077	0.6923	0.5577	0.01318	0.007325	0	0.5824	7.673E-41	0.4438	6.841E-24
