Index	Label	Type	Name	ID	Integral [QL]	Area [pixel]	Bkg [QL]	Integral-Bkg [QL]	Integral/Area [QL/mm²]	Integral/Area-Bkg [QL/mm²]	Median [QL]	Median-Bkg [QL]	Normalized [%]	Normalized-Bkg [%]	Average [QL]	Average-Bkg [QL]	Average [%]	Average-Bkg [%]	Deviation [QL]	Deviation [%]	Deviation-Bkg [QL]	Deviation-Bkg [%]	Homogeneity [%]	Quality
1	1-1,1			146O3	278295.0	208	108056.0	170239.0	13379567.3	8184567.3	777.5	258.0	--	--	--	--	--	--	--	--	--	--	12.6	
2	1-1,2			196L2	156079.0	208	107120.0	48959.0	7503798.1	2353798.1	656.0	141.0	--	--	--	--	--	--	--	--	--	--	17.4	
3	1-1,3			187E6	214980.0	208	112424.0	102556.0	10335576.9	4930576.9	799.5	259.0	--	--	--	--	--	--	--	--	--	--	43.8	
4	1-1,4			181L6	322760.0	208	104416.0	218344.0	15517307.7	10497307.7	1048.0	546.0	--	--	--	--	--	--	--	--	--	--	3.3	
5	1-1,5			198M4	165229.0	208	108056.0	57173.0	7943701.9	2748701.9	667.0	147.5	--	--	--	--	--	--	--	--	--	--	67.0	
6	1-1,6			190H9	182418.0	208	110344.0	72074.0	8770096.2	3465096.2	690.5	160.0	--	--	--	--	--	--	--	--	--	--	28.5	
7	1-1,7			9M14	240379.0	208	104520.0	135859.0	11556682.7	6531682.7	631.5	129.0	--	--	--	--	--	--	--	--	--	--	15.6	
8	1-1,8			104G2	130704.0	208	98280.0	32424.0	6283846.2	1558846.2	561.0	88.5	--	--	--	--	--	--	--	--	--	--	10.5	
9	1-1,9			122O10	169485.0	208	102960.0	66525.0	8148317.3	3198317.3	638.0	143.0	--	--	--	--	--	--	--	--	--	--	32.9	
10	1-1,10			185K14	169842.0	208	100256.0	69586.0	8165480.8	3345480.8	604.5	122.5	--	--	--	--	--	--	--	--	--	--	12.8	
11	1-1,11			126M21	249958.0	208	110032.0	139926.0	12017211.5	6727211.5	579.0	50.0	--	--	--	--	--	--	--	--	--	--	47.1	sat. 
12	1-1,12			119P1	146563.0	208	101400.0	45163.0	7046298.1	2171298.1	611.5	124.0	--	--	--	--	--	--	--	--	--	--	12.7	
13	1-1,13			32I4	291399.0	208	94432.0	196967.0	14009567.3	9469567.3	982.0	528.0	--	--	--	--	--	--	--	--	--	--	0.6	
14	1-1,14			105D1	187687.0	208	105352.0	82335.0	9023413.5	3958413.5	641.0	134.5	--	--	--	--	--	--	--	--	--	--	12.5	
15	1-1,15			108K15	325620.0	208	116480.0	209140.0	15654807.7	10054807.7	742.5	182.5	--	--	--	--	--	--	--	--	--	--	53.6	
16	1-1,16			100H5	264135.0	208	105768.0	158367.0	12698798.1	7613798.1	823.5	315.0	--	--	--	--	--	--	--	--	--	--	37.1	
