HEADER	SPOT	GRID	TOP	LEFT	BOT	RIGHT	ROW	COL	CH1I	CH1B	CH1AB	CH2I	CH2B	CH2AB	SPIX	BGPIX	EDGE	RAT2	MRAT	REGR	CORR	LFRAT	CH1GTB1	CH2GTB1	CH1GTB2	CH2GTB2	CH1EDGEA	CH2EDGEA	FLAG	CH1KSD	CH1KSP	CH2KSD	CH2KSP
SPOT	1	1	100	70	114	84	1	1	392	124	130	1683	389	401	156	1152	0	4.828	3.705	5.52	0.8191	8.16	0.8077	0.8654	0.6026	0.6026	0.003501	-0.02247	0	0.4985	9.613E-31	0.5578	2.197E-38
SPOT	2	1	99	87	113	101	1	2	1004	117	123	1321	394	414	156	976	0	1.045	1.064	0.9517	0.9381	1.016	0.7372	0.7949	0.5385	0.5385	-0.001745	0.001186	0	0.479	7.875E-28	0.4839	2.114E-28
SPOT	3	1	99	105	113	119	1	3	1502	111	117	716	357	374	156	976	0	0.2581	0.2917	0.235	0.8626	0.2394	0.8333	0.75	0.6346	0.5064	-0.00864	-0.006812	0	0.5705	2.620E-39	0.4495	1.454E-24
SPOT	4	1	98	122	112	136	1	4	2476	109	114	3182	345	360	156	985	0	1.199	1.187	1.135	0.9621	1.187	0.8462	0.7949	0.6923	0.5705	0.008193	0.007412	0	0.5814	7.503E-41	0.5293	6.184E-34
SPOT	5	1	98	140	112	154	1	5	4213	107	111	8376	330	355	156	978	0	1.96	1.968	0	0	3.493	0.8718	0.8718	0.7308	0.6795	-0.01353	0.03344	0	0.6255	0.000E+00	0.596	7.329E-43
SPOT	6	1	98	157	112	171	1	6	1234	106	110	1590	299	323	156	964	0	1.145	1.171	1.046	0.9509	1.106	0.8333	0.8013	0.5962	0.6154	0.006712	0.008156	0	0.5039	1.065E-30	0.527	1.511E-33
SPOT	7	1	97	175	111	189	1	7	221	105	109	509	284	308	156	987	0	1.94	1.979	1.389	0.6175	3.232	0.5256	0.5192	0.2885	0.2564	0.0006993	-0.001368	1	0.1924	7.422E-05	0.1689	7.712E-04
SPOT	8	1	97	192	111	206	1	8	476	100	107	614	284	309	156	976	0	0.8777	0.891	0.646	0.8653	0.7166	0.7885	0.8718	0.609	0.5641	0.00569	-0.0031	0	0.5049	7.060E-31	0.4799	6.137E-28
SPOT	9	1	97	210	111	224	1	9	1645	98	103	1967	277	298	156	978	0	1.092	1.072	0.9989	0.9423	1.063	0.7756	0.75	0.609	0.5513	0.008303	0.007523	0	0.5383	4.822E-35	0.5029	1.220E-30
SPOT	10	1	96	228	110	242	1	10	3120	97	102	2911	274	297	156	988	0	0.8723	0.8752	0.8071	0.9397	0.8506	0.8526	0.8526	0.7179	0.6346	-0.005009	0.006478	0	0.6242	0.000E+00	0.5361	8.200E-35
SPOT	11	1	96	245	110	259	1	11	1255	92	99	1362	270	297	156	976	0	0.939	0.9382	0.8394	0.9261	0.8999	0.8013	0.8013	0.6795	0.5705	-0.005199	-0.003792	0	0.5478	2.890E-36	0.509	2.251E-31
SPOT	12	1	96	263	110	277	1	12	1383	92	97	3085	256	281	156	976	0	2.191	2.153	2.001	0.9363	2.23	0.859	0.859	0.6474	0.6154	-0.001305	-0.005164	0	0.5531	5.703E-37	0.539	3.981E-35
SPOT	13	1	95	280	109	294	1	13	2365	94	99	3369	265	290	156	976	0	1.367	1.331	1.252	0.9434	1.349	0.8462	0.8333	0.7051	0.6603	-0.006853	-0.0002906	0	0.5788	1.947E-40	0.568	5.771E-39
SPOT	14	1	95	298	109	312	1	14	1661	92	98	1654	259	282	156	966	0	0.8891	0.9349	0.7896	0.912	0.8538	0.8141	0.8141	0.6603	0.5897	-0.02069	0.00245	0	0.5666	1.026E-38	0.503	1.314E-30
SPOT	15	1	94	315	108	329	1	15	1644	91	96	2368	238	256	156	985	0	1.372	1.362	1.251	0.9324	1.369	0.8205	0.8462	0.6474	0.6667	-0.006503	0.00711	0	0.5607	5.056E-38	0.5777	2.432E-40
SPOT	16	1	94	333	108	347	1	16	1560	90	96	2432	225	246	156	978	0	1.501	1.457	1.347	0.9274	1.493	0.8397	0.7821	0.6731	0.6282	-0.008014	-0.001309	0	0.5552	2.978E-37	0.576	4.594E-40
SPOT	17	1	94	350	108	364	1	17	3577	88	93	4666	216	242	156	964	0	1.275	1.321	0	0	0.6846	0.8974	0.8333	0.7372	0.6538	-0.01122	0.00477	0	0.621	0.000E+00	0.5718	2.042E-39
