HEADER	SPOT	GRID	TOP	LEFT	BOT	RIGHT	ROW	COL	CH1I	CH1B	CH1AB	CH2I	CH2B	CH2AB	SPIX	BGPIX	EDGE	RAT2	MRAT	REGR	CORR	LFRAT	CH1GTB1	CH2GTB1	CH1GTB2	CH2GTB2	CH1EDGEA	CH2EDGEA	FLAG	CH1KSD	CH1KSP	CH2KSD	CH2KSP
SPOT	1	1	73	100	87	114	1	1	194	63	69	224	140	156	156	1182	0	0.6412	0.7877	0.5917	0.7327	0.7534	0.7885	0.6795	0.5641	0.4487	0.02861	0.001136	0	0.4471	6.975E-25	0.2877	1.488E-10
SPOT	2	1	73	119	87	133	1	2	1095	67	71	759	139	148	156	957	0	0.6031	0.6768	0.5268	0.8953	0.5567	0.8397	0.7821	0.6603	0.6731	-0.002528	0.002432	0	0.5581	1.562E-37	0.5515	1.168E-36
SPOT	3	1	73	137	87	151	1	3	1184	66	70	1849	134	143	156	932	0	1.534	1.527	1.345	0.8963	1.569	0.8397	0.8205	0.7051	0.6859	-0.02259	-0.01493	0	0.5916	5.699E-42	0.5716	3.377E-39
SPOT	4	1	73	154	87	168	1	4	2636	67	71	438	133	140	156	929	0	0.1187	0.1306	0.1054	0.8552	0.1061	0.8846	0.75	0.7436	0.6218	1.409E-5	-0.003106	0	0.6418	0.000E+00	0.4848	2.632E-28
SPOT	5	1	73	172	87	186	1	5	5875	75	78	3840	135	145	156	955	0	0.6388	0.702	0	0	0.6437	0.9744	0.891	0.8846	0.8397	-0.01109	-0.02237	0	0.7805	0.000E+00	0.6791	0.000E+00
SPOT	6	1	73	190	87	204	1	6	1300	77	80	813	136	146	156	924	0	0.5536	0.5555	0.4737	0.8596	0.5062	0.859	0.7949	0.6667	0.6667	-0.01375	-0.01906	0	0.5561	4.375E-37	0.5439	1.725E-35
SPOT	7	1	73	207	87	221	1	7	288	72	77	208	137	147	156	914	0	0.3287	0.7053	0.2777	0.7287	0.2971	0.7051	0.5641	0.4231	0.2821	0.00194	-0.001347	0	0.3173	2.426E-12	0.1378	1.130E-02
SPOT	8	1	72	225	86	239	1	8	535	76	81	307	140	149	156	932	0	0.3638	0.3801	0.2866	0.7199	0.3096	0.8205	0.7308	0.6282	0.5897	-0.0127	-0.00933	0	0.5384	7.931E-35	0.4138	9.558E-21
SPOT	9	1	72	242	86	256	1	9	1767	84	88	421	145	155	156	929	0	0.164	0.1977	0.1487	0.8799	0.1501	0.9038	0.8205	0.7436	0.6346	0.004958	0.00407	0	0.6265	0.000E+00	0.4517	1.246E-24
SPOT	10	1	72	260	86	274	1	10	2785	88	95	463	149	157	156	955	0	0.1164	0.1243	0.1057	0.8036	0.1066	0.859	0.7436	0.6923	0.5962	-0.01172	-0.008037	0	0.5846	3.936E-41	0.5022	1.830E-30
SPOT	11	1	72	278	86	292	1	11	1261	89	96	367	150	159	156	932	0	0.1852	0.2088	0.1444	0.7635	0.1471	0.8654	0.8205	0.6859	0.6474	-0.02159	-0.00959	0	0.5629	4.875E-38	0.4867	1.555E-28
SPOT	12	1	72	295	86	309	1	12	1883	87	95	802	154	163	156	929	0	0.3608	0.3841	0.307	0.8637	0.3164	0.8526	0.8205	0.6923	0.641	-0.01328	-0.01524	0	0.5719	3.121E-39	0.5178	3.102E-32
SPOT	13	1	72	313	86	327	1	13	3415	86	92	887	150	162	156	943	0	0.2214	0.2441	0.1928	0.8593	0.1953	0.8462	0.7821	0.7244	0.6282	-0.0315	-0.03363	0	0.6214	0.000E+00	0.5226	6.798E-33
