HEADER	SPOT	GRID	TOP	LEFT	BOT	RIGHT	ROW	COL	CH1I	CH1B	CH1AB	CH2I	CH2B	CH2AB	SPIX	BGPIX	EDGE	RAT2	MRAT	REGR	CORR	LFRAT	CH1GTB1	CH2GTB1	CH1GTB2	CH2GTB2	CH1EDGEA	CH2EDGEA	FLAG	CH1KSD	CH1KSP	CH2KSD	CH2KSP
SPOT	1	1	50	91	64	105	1	1	680	94	101	531	78	87	156	1178	0	0.773	0.7527	0.7604	0.9556	0.7876	0.8141	0.7564	0.75	0.6731	0.0316	2.68E-5	0	0.6224	0.000E+00	0.5628	3.695E-39
SPOT	2	1	49	110	63	124	1	2	1738	100	109	1236	89	99	156	1004	0	0.7002	0.7003	0.6583	0.9569	0.6767	0.9231	0.9679	0.7308	0.7628	-0.004927	-0.001265	0	0.6164	0.000E+00	0.6036	4.064E-44
SPOT	3	1	49	127	63	141	1	3	2836	99	107	860	92	100	156	988	0	0.2806	0.3049	0.2631	0.9644	0.2646	0.9231	0.9744	0.7436	0.8077	-0.007184	0.0002005	0	0.6269	0.000E+00	0.6606	0.000E+00
SPOT	4	1	49	145	63	159	1	4	4918	105	117	3249	96	110	156	1002	0	0.6551	0.6823	0	0	0.5832	0.9295	0.9167	0.7628	0.7885	-0.0002167	-0.001335	0	0.6175	0.000E+00	0.6343	0.000E+00
SPOT	5	1	49	163	63	177	1	5	3631	103	119	9491	92	109	156	989	0	2.664	2.597	0	0	4.357	0.891	0.9744	0.7692	0.859	-0.01825	-0.001135	0	0.6142	1.401E-45	0.738	0.000E+00
SPOT	6	1	49	180	63	194	1	6	1940	94	108	3141	79	93	156	965	0	1.659	1.641	1.546	0.9654	1.627	0.8718	0.9038	0.6795	0.7564	-0.000289	-0.003925	0	0.5743	9.171E-40	0.6088	1.261E-44
SPOT	7	1	49	198	63	212	1	7	291	85	93	260	66	71	156	972	0	0.9417	0.9992	0.8405	0.928	0.8988	0.6731	0.6218	0.3846	0.3462	-0.00213	0.01652	0	0.2986	4.542E-11	0.2528	4.662E-08
SPOT	8	1	49	216	63	230	1	8	835	79	84	700	61	66	156	971	0	0.8452	0.7984	0.7761	0.9454	0.8125	0.8141	0.8654	0.6346	0.6474	-0.003931	-0.01357	0	0.5354	1.217E-34	0.5638	2.305E-38
SPOT	9	1	48	233	62	247	1	9	2832	77	80	2029	61	65	156	988	0	0.7143	0.7259	0.6747	0.9689	0.6886	0.8782	0.8526	0.6923	0.7179	0.01224	0.01605	0	0.5789	1.576E-40	0.6461	0.000E+00
SPOT	10	1	48	251	62	265	1	10	3689	77	79	1743	61	63	156	990	0	0.4657	0.4806	0	0	1.867	0.8782	0.8397	0.7436	0.6474	0.01164	0.006503	0	0.6191	0.000E+00	0.5999	1.682E-43
SPOT	11	1	48	268	62	282	1	11	1980	77	80	1664	63	65	156	988	0	0.8413	0.8404	0.7922	0.9658	0.8144	0.8333	0.8782	0.6923	0.6731	0.02801	0.01536	0	0.6086	9.809E-45	0.6225	0.000E+00
SPOT	12	1	48	286	62	300	1	12	2512	77	81	2277	64	64	156	991	0	0.9088	0.9312	0.8899	0.9751	0.9105	0.9231	0.8654	0.7179	0.7179	0.01049	0.01744	0	0.6114	4.204E-45	0.6506	0.000E+00
SPOT	13	1	48	304	62	318	1	13	3904	81	97	3395	65	71	156	959	0	0.871	0.8541	0	0	2.201	0.9103	0.9231	0.7564	0.7692	0.01345	-0.005807	0	0.6297	0.000E+00	0.6471	0.000E+00
