Index	Label	Type	Name	ID	Integral [a.u.]	Area [pixel]	Bkg [a.u.]	Integral-Bkg [a.u.]	Integral/Area [a.u./pixel]	Integral/Area-Bkg [a.u./pixel]	Median [a.u.]	Median-Bkg [a.u.]	Normalized [%]	Normalized-Bkg [%]	Average [a.u.]	Average-Bkg [a.u.]	Average [%]	Average-Bkg [%]	Deviation [a.u.]	Deviation [%]	Deviation-Bkg [a.u.]	Deviation-Bkg [%]	Homogeneity [%]	Quality
1	1-1,1			184O13	1.9488525391	61	0.8181610107	1.1306915283	0.0319484023	0.0185359267	0.0302276611	0.0168151855	--	--	--	--	--	--	--	--	--	--	15.7	
2	1-1,2			181I1	2.0362091064	61	0.7855834961	1.2506256104	0.0333804772	0.0205020592	0.0334930420	0.0206146240	--	--	--	--	--	--	--	--	--	--	0.8	
3	1-1,3			177C14	1.8168182373	61	0.8018722534	1.0149459839	0.0297839055	0.0166384588	0.0291595459	0.0160140991	--	--	--	--	--	--	--	--	--	--	3.3	
4	1-1,4			emptywell	1.1454467773	61	0.8963470459	0.2490997314	0.0187778160	0.0040836022	0.0185241699	0.0038299561	--	--	--	--	--	--	--	--	--	--	20.0	
5	1-1,5			196H14	1.5510864258	61	0.8488769531	0.7022094727	0.0254276463	0.0115116307	0.0248260498	0.0109100342	--	--	--	--	--	--	--	--	--	--	14.6	
6	1-1,6			190H9	1.5614776611	61	0.8581848145	0.7032928467	0.0255979944	0.0115293909	0.0254821777	0.0114135742	--	--	--	--	--	--	--	--	--	--	1.2	
7	1-1,7			130L13	2.6662597656	61	0.7962875366	1.8699722290	0.0437091765	0.0306552824	0.0441284180	0.0310745239	--	--	--	--	--	--	--	--	--	--	6.0	
8	1-1,8			126G2	4.8566284180	61	0.8349151611	4.0217132568	0.0796168593	0.0659297255	0.0814819336	0.0677947998	--	--	--	--	--	--	--	--	--	--	1.1	
9	1-1,9			122O10	1.4648742676	61	0.7967529297	0.6681213379	0.0240143323	0.0109528088	0.0242767334	0.0112152100	--	--	--	--	--	--	--	--	--	--	5.1	
10	1-1,10			120K4	1.3875274658	61	0.7613830566	0.6261444092	0.0227463519	0.0102646624	0.0225677490	0.0100860596	--	--	--	--	--	--	--	--	--	--	2.2	
11	1-1,11			117F12	1.3968048096	61	0.7632446289	0.6335601807	0.0228984395	0.0103862325	0.0229797363	0.0104675293	--	--	--	--	--	--	--	--	--	--	1.4	
12	1-1,12			112O9	1.3666992188	61	0.7483520508	0.6183471680	0.0224049052	0.0101368388	0.0223541260	0.0100860596	--	--	--	--	--	--	--	--	--	--	1.3	
13	1-1,13			111J15	1.4530639648	61	0.7781372070	0.6749267578	0.0238207207	0.0110643731	0.0229187012	0.0101623535	--	--	--	--	--	--	--	--	--	--	15.9	
14	1-1,14			108C6	2.5762481689	61	0.8107147217	1.7655334473	0.0422335765	0.0289431713	0.0408935547	0.0276031494	--	--	--	--	--	--	--	--	--	--	5.0	
15	1-1,15			104P12	1.4123229980	61	0.7483520508	0.6639709473	0.0231528360	0.0108847696	0.0233306885	0.0110626221	--	--	--	--	--	--	--	--	--	--	2.2	
16	1-1,16			100H5	1.7216339111	61	0.6827316284	1.0389022827	0.0282235067	0.0170311850	0.0271606445	0.0159683228	--	--	--	--	--	--	--	--	--	--	3.5	
17	1-1,17			84P3	2.2823791504	61	0.7055358887	1.5768432617	0.0374160516	0.0258498895	0.0364074707	0.0248413086	--	--	--	--	--	--	--	--	--	--	2.7	
18	1-1,18			71N2	3.0775146484	61	0.7185668945	2.3589477539	0.0504510598	0.0386712747	0.0508575439	0.0390777588	--	--	--	--	--	--	--	--	--	--	2.4	
19	1-1,19			62J11	2.5895385742	61	0.7697601318	1.8197784424	0.0424514520	0.0298324335	0.0426025391	0.0299835205	--	--	--	--	--	--	--	--	--	--	0.9	
20	1-1,20			33O2	1.3539581299	61	0.7948913574	0.5590667725	0.0221960349	0.0091650291	0.0207672119	0.0077362061	--	--	--	--	--	--	--	--	--	--	25.3	
21	1-1,21			18H14	5.2115936279	61	0.8907623291	4.3208312988	0.0854359611	0.0708333000	0.0839233398	0.0693206787	--	--	--	--	--	--	--	--	--	--	1.8	
22	1-1,22			8L3	2.5970458984	61	0.8442230225	1.7528228760	0.0425745229	0.0287348012	0.0435333252	0.0296936035	--	--	--	--	--	--	--	--	--	--	0.6	
