HEADER	SPOT	GRID	TOP	LEFT	BOT	RIGHT	ROW	COL	CH1I	CH1B	CH1AB	CH2I	CH2B	CH2AB	SPIX	BGPIX	EDGE	RAT2	MRAT	REGR	CORR	LFRAT	CH1GTB1	CH2GTB1	CH1GTB2	CH2GTB2	CH1EDGEA	CH2EDGEA	FLAG	CH1KSD	CH1KSP	CH2KSD	CH2KSP
SPOT	1	1	54	141	71	158	1	1	337	45	54	315	156	165	225	990	0	0.5445	0.6624	0.5271	0.8585	0.5719	0.7733	0.6622	0.6089	0.4133	0.01108	0.003254	0	0.4638	2.452E-35	0.2352	2.129E-09
SPOT	2	1	53	158	70	175	1	2	430	44	56	479	155	169	225	766	0	0.8394	0.9328	0.743	0.8865	0.8204	0.6933	0.6889	0.4622	0.4711	-0.02861	0.02174	0	0.3401	3.036E-18	0.3501	2.642E-19
SPOT	3	1	53	176	70	193	1	3	608	43	48	2771	154	166	225	756	0	4.632	4.944	0	0	0.3857	0.7467	0.7244	0.4711	0.52	-0.03514	0.0292	0	0.3707	1.587E-21	0.4152	6.668E-27
SPOT	4	1	53	193	70	210	1	4	1120	43	46	429	159	168	225	756	0	0.2507	0.3275	0.2268	0.8602	0.2311	0.7822	0.6622	0.6311	0.5022	-0.01393	0.007278	0	0.4878	5.718E-37	0.3518	1.978E-19
SPOT	5	1	53	211	70	228	1	5	2409	43	46	3767	147	161	225	756	0	1.53	1.599	0	0	6.952	0.7644	0.76	0.6311	0.6222	-0.01815	0.02063	0	0.5021	3.924E-39	0.4585	1.058E-32
SPOT	6	1	53	228	70	245	1	6	628	47	50	645	144	158	225	756	0	0.8623	0.959	0.7597	0.8873	0.8402	0.7333	0.7156	0.5333	0.5333	0.000946	-0.002389	0	0.3942	2.723E-24	0.3909	6.868E-24
SPOT	7	1	53	246	70	263	1	7	145	50	54	207	154	164	225	756	0	0.5579	1.611	0.4189	0.6751	0.5067	0.6	0.5289	0.3867	0.2667	0.005803	-0.004011	0	0.2007	1.297E-06	0.09275	9.549E-02
SPOT	8	1	53	263	70	280	1	8	412	53	61	339	160	181	225	756	0	0.4986	0.5788	0.461	0.8566	0.4934	0.7822	0.6533	0.5422	0.4622	0.004319	-0.004684	0	0.3678	3.393E-21	0.299	3.701E-14
SPOT	9	1	53	281	70	298	1	9	1084	56	63	515	165	188	225	781	0	0.3405	0.4105	0.3124	0.8996	0.3194	0.7867	0.6978	0.5467	0.5067	-0.007624	0.003929	0	0.4225	4.954E-28	0.3598	1.900E-20
SPOT	10	1	53	299	70	316	1	10	1511	54	57	417	160	173	225	756	0	0.1764	0.2245	0.1445	0.8181	0.1461	0.7867	0.7156	0.6089	0.5022	-0.00353	-0.0007647	0	0.4563	2.097E-32	0.3704	1.701E-21
SPOT	11	1	53	316	70	333	1	11	757	51	54	387	162	171	225	756	0	0.3187	0.3799	0.2794	0.8187	0.2904	0.7778	0.6667	0.5911	0.5111	0.00223	-0.001887	0	0.4601	6.317E-33	0.337	7.297E-18
SPOT	12	1	53	334	70	351	1	12	996	46	50	1189	163	166	225	756	0	1.08	1.17	0.9921	0.8937	1.124	0.84	0.7244	0.6489	0.56	0.00141	-0.00106	0	0.4912	1.804E-37	0.4036	1.939E-25
SPOT	13	1	53	351	70	368	1	13	1607	47	50	838	160	168	225	756	0	0.4346	0.4908	0.3723	0.8729	0.3871	0.7511	0.7022	0.5911	0.56	0.00634	0.002119	0	0.4701	2.315E-34	0.4106	2.557E-26
SPOT	14	1	53	369	70	386	1	14	955	49	53	784	163	171	225	756	0	0.6854	0.7176	0.6079	0.8773	0.66	0.7244	0.7111	0.5422	0.5156	-0.01438	0.005629	0	0.4152	6.668E-27	0.3809	1.052E-22
SPOT	15	1	53	386	70	403	1	15	882	50	54	498	168	176	225	756	0	0.3966	0.4357	0.3464	0.846	0.3616	0.7289	0.6756	0.56	0.4844	0.0001626	0.002297	0	0.4359	1.318E-29	0.3743	6.152E-22
SPOT	16	1	53	404	70	421	1	16	536	52	57	310	167	177	225	781	0	0.2955	0.377	0.2785	0.7646	0.2945	0.7422	0.6311	0.5467	0.4533	-0.006087	0.001409	0	0.4156	3.836E-27	0.3185	4.062E-16
SPOT	17	1	53	422	70	439	1	17	1273	53	60	824	165	178	225	756	0	0.5402	0.651	0.4581	0.8514	0.49	0.76	0.6933	0.5689	0.4978	-0.01916	0.01371	0	0.4307	6.563E-29	0.3868	2.136E-23
SPOT	18	1	53	439	70	456	1	18	945	56	66	709	160	180	225	756	0	0.6175	0.6791	0.5341	0.8495	0.5834	0.7156	0.6889	0.4933	0.4844	0.001984	0.009793	0	0.4043	1.593E-25	0.3605	2.224E-20
SPOT	19	1	53	457	70	474	1	19	1440	59	68	767	159	177	225	756	0	0.4403	0.4903	0.4007	0.9128	0.4124	0.7778	0.7244	0.5822	0.5422	-0.01797	0.01269	0	0.4848	1.643E-36	0.4199	1.686E-27
SPOT	20	1	53	474	70	491	1	20	333	60	72	334	169	185	225	756	0	0.6044	0.6658	0.5205	0.7372	0.6299	0.6578	0.64	0.4889	0.4311	-0.009097	-0.007697	0	0.3346	1.284E-17	0.288	3.674E-13
SPOT	21	1	53	492	70	509	1	21	1549	60	70	819	173	190	225	756	0	0.4338	0.536	0.3878	0.8946	0.4007	0.7244	0.6622	0.5067	0.4889	-0.02235	0.01508	0	0.3712	1.381E-21	0.3513	2.226E-19
SPOT	22	1	53	509	70	526	1	22	446	58	69	634	172	186	225	756	0	1.191	1.107	0.9588	0.8231	1.204	0.7244	0.7111	0.5422	0.4933	-0.005256	0.004145	0	0.3779	2.363E-22	0.3442	1.273E-18
SPOT	23	1	53	527	70	544	1	23	1263	58	79	578	174	183	225	781	0	0.3353	0.3899	0.2855	0.8742	0.2926	0.7022	0.7378	0.5244	0.5111	-0.01592	0.009027	0	0.3752	3.328E-22	0.3696	1.490E-21
SPOT	24	1	53	545	70	562	1	24	1483	58	71	395	170	177	225	1041	0	0.1579	0.1987	0.13	0.8273	0.1313	0.7467	0.6933	0.5511	0.4933	-0.02122	0.01258	0	0.401	9.440E-27	0.3808	3.608E-24
SPOT	25	1	71	140	88	157	2	1	132	43	52	223	149	163	225	766	0	0.8315	0.9962	0.6224	0.6378	0.9627	0.6533	0.6489	0.4444	0.4222	0.01098	-0.005612	0	0.3279	5.527E-17	0.2293	1.607E-08
SPOT	26	1	71	158	88	175	2	2	148	47	67	324	158	177	225	395	0	1.644	1.715	1.206	0.752	1.841	0.6044	0.68	0.4356	0.4933	-0.002608	-0.006948	0	0.2973	1.135E-11	0.3227	1.132E-13
SPOT	27	1	71	176	88	193	2	3	82	45	54	197	158	172	225	381	0	1.054	1.534	0.7006	0.4458	2.524	0.6	0.6	0.3911	0.2933	0.004084	-0.008823	0	0.2518	2.203E-08	0.1225	2.608E-02
SPOT	28	1	71	193	88	210	2	4	156	44	49	276	162	168	225	381	0	1.018	1.175	0.7247	0.426	2.877	0.8267	0.7733	0.7378	0.4978	-0.02139	0.008979	0	0.6554	0.000E+00	0.3227	1.674E-13
SPOT	29	1	71	211	88	228	2	5	66	42	46	188	158	162	225	381	0	1.25	2.294	0.3903	0.2086	6.236	0.5822	0.5422	0.36	0.2711	0.002798	-0.01147	0	0.204	1.192E-05	0.1258	2.054E-02
SPOT	30	1	71	228	88	245	2	6	65	45	49	168	144	161	225	381	0	1.2	2.976	0.08839	0.04752	15.66	0.6089	0.5778	0.3511	0.2711	0.00397	-0.000224	0	0.2027	1.383E-05	0.1008	1.063E-01
SPOT	31	1	71	246	88	263	2	7	147	52	59	215	153	170	225	381	0	0.6526	1.037	0.4867	0.5271	0.8677	0.7022	0.6222	0.48	0.3822	0.007135	0.0003739	0	0.3249	1.123E-13	0.1801	1.688E-04
SPOT	32	1	71	263	88	280	2	8	529	57	62	247	168	183	225	381	0	0.1674	0.2438	0.133	0.6368	0.1376	0.7289	0.6533	0.5067	0.3956	-0.002504	-0.005102	0	0.3917	1.079E-19	0.2082	7.229E-06
SPOT	33	1	71	281	88	298	2	9	1110	57	61	871	162	175	225	416	0	0.6733	0.7372	0.6082	0.9185	0.6397	0.7422	0.7289	0.5689	0.5556	-0.002117	-0.004278	0	0.4299	2.285E-24	0.3929	2.013E-20
SPOT	34	1	71	299	88	316	2	10	180	58	62	260	153	163	225	381	0	0.877	1.063	0.4921	0.5569	0.8123	0.6978	0.7156	0.4711	0.5333	-0.001446	-0.01039	0	0.3487	1.083E-15	0.3367	1.169E-14
SPOT	35	1	71	316	88	333	2	11	116	54	56	242	168	173	225	381	0	1.194	1.777	0.6332	0.4601	1.957	0.7111	0.6578	0.4311	0.4	-0.002382	-0.003769	0	0.283	1.747E-10	0.2384	1.457E-07
